,cD-value_Direct,cL-value_Direct,WallTimeTotal_h
0,6.136,0.2865,7.2305
1,11.315,-0.022119,23.473
2,4.1859,0.12165,47.46
3,8.501728,0.06935,5.0933
4,8.2088,0.066635,22.137
5,8.40176118,0.15963,6.5591
6,11.104,0.009913,13.549
7,-12.076,0.66631,12.989
8,-0.037381,0.33147,16.545
9,2.6774,0.21358,54.327
10,11.271,0.040734,17.718
11,6.7139,0.111,12.127
12,7.8045,0.085265,10.941
13,4.4457,0.078944,6.6535
14,6.994,0.010725,74.57
15,2.4292,0.31533,61.556
16,12.179,0.018609,20.196
17,6.4606,0.02599,46.673
18,6.6758,0.019135,9.6559
19,-3.4929,0.40411,8.8149
20,-5.9006,0.63165,57.309
21,6.5901,0.024907,5.0096
22,2.8684,0.14875,11.261
23,3.8861,0.26402,10.263
24,6.3565,0.013707,8.6473
25,15.96,-0.088144,17.09
26,3.5158,0.24746,12.397
27,7.4665,0.10199,16.554
28,-7.7513,0.54668,4.2827
29,11.324,-0.029988,35.147
30,2.3636,0.15832,11.977
31,11.019,0.074749,21.866
32,6.28587,0.16771,6.8775
33,6.9966,0.024285,8.194
34,7.01558,0.17143,6.5132
35,7.099744,0.0032,7.3018
36,-8.7932,0.81268,33.085
37,3.187873,0.133416,7.2475
38,11.913,0.021601,58.469
39,6.0949,0.051658,38.368
40,6.1754,0.16609,33.615
41,7.0373,0.0046304,4.4427
42,11.097,0.030833,6.11
43,4.2822,0.092352,20.931
44,2.7971,0.2749,15.234
45,7.9719,0.15176,30.791
46,14.427,-0.065186,56.934
47,2.8425,0.15105,8.2713
48,5.9749,0.29826,57.741
49,6.3941,0.015388,18.981
50,5.4495,0.13776,5.3625
51,2.9035,0.16442,16.154
52,6.7476,0.026058,17.196
53,0.41204,0.28799,25.878
54,6.5825,0.026075,10.372
55,-1.0524,0.35497,41.231
56,-0.043851,0.25808,4.5627
57,6.7095,0.016508,15.77
58,-2.8361,0.38157,29.726
59,6.386,0.14459,7.9379
60,7.6286,0.011707,19.199
61,2.8306,0.16508,63.953
62,10.766,0.062975,7.8376
63,-8.4378,0.49291,5.6373
64,8.3059,0.10522,5.5405
65,4.3163,0.1755,14.008
66,3.3252,0.19781,5.3624
67,-0.58278,0.31861,9.8383
68,-2.4272,0.3941,59.797
69,11.255,0.00786,21.273
70,10.529,0.028257,3.9627
71,10.133,0.10037,42.984
72,-3.4813,0.4314,24.735
73,2.8971,0.14981,17.655
74,5.5045,0.050435,3.8036
75,0.88538,0.40463,11.453
76,-3.9421,0.43073,20.044
77,9.6666,0.036845,17.999
78,-4.0063,0.41805,4.7845
79,8.6489,0.056664,8.9596
80,12.813,0.0068413,6.95
81,6.5137,0.040424,29.746
82,6.1671,0.12784,6.1244
83,-1.1782,0.32925,42.23
84,8.1047,0.11696,7.4451
85,13.409,-0.046667,17.098
86,7.3888,0.096069,12.222
87,6.5144,0.026438,52.698
88,-6.8024,0.50306,19.877
89,11.043,-0.018523,42.68
90,6.7359,0.027889,3.838
91,-1.7205,0.41011,9.0533
92,6.2339,0.044218,22.582
93,5.8476,0.048195,38.769
94,0.58458,0.28865,27.303
95,6.8023,0.023678,4.2849
96,-3.8326,0.39128,4.1755
97,1.308,0.22042,26.582
98,12.682,0.025076,45.006
99,15.01,-0.058816,7.2758
100,6.7203,0.01105,8.8589
101,6.2829,0.022506,5.7522
102,3.3729,0.35278,29.779
103,10.615,0.0092445,5.0596
104,9.7824,0.028303,4.6339
105,-0.9349,0.31192,5.0607
106,9.3027,0.054154,8.3502
107,2.8029,0.2373,3.9003
108,6.7899,0.13764,4.3418
109,-1.381,0.27838,4.2293
110,6.8544,0.035211,15.434
111,-8.0718,0.54035,14.548
112,11.355,0.035979,3.1624
113,6.763,0.0045464,4.6604
114,-4.6296,0.40652,12.849
115,6.5964,0.032105,28.853
116,9.6057,0.042821,60.337
117,-0.39258,0.31162,7.8992
118,10.8,-0.0080175,9.8235
119,9.7976,0.070794,5.0228
120,8.2947,0.11034,3.4964
121,8.047,0.074251,4.9967
122,-9.8825,0.52634,4.9511
123,-3.3381,0.33675,3.6817
124,10.922,-0.006629,4.2276
125,-11.077,0.54656,4.1086
126,1.717,0.16951,4.0969
127,-11.78,0.67201,19.214
128,5.5969,0.33952,14.173
129,-7.0829,0.59427,28.544
130,6.4805,0.027842,7.1591
131,6.5148,0.030039,10.269
132,11.971,-0.018926,13.05
133,2.7811,0.13249,30.415
134,11.509,0.060303,10.784
135,6.9449,0.23727,20.543
136,6.6995,0.017739,5.3685
137,-4.7347,0.43948,25.811
138,10.883,-0.017972,22.643
139,7.366,0.0092476,14.866
140,11.075,0.072994,16.611
141,3.6284,0.25589,4.3258
142,12.114,-0.029749,5.4388
143,11.055,-0.019341,7.8722
144,12.057,-0.010784,7.0331
145,5.7599,0.060665,30.0
146,6.1752,0.042253,24.612
147,7.1054,0.024316,9.3378
148,-13.355,0.70794,15.863
149,6.8485,0.03857,13.793
150,14.185,-0.067183,24.368
151,10.408,0.060409,6.4092
152,6.6081,0.10424,4.9277
153,-4.6995,0.44331,5.0668
154,-1.9824,0.34238,3.2707
155,9.0646,0.036512,10.261
156,2.1366,0.19058,41.657
157,12.454,-0.010965,4.7342
158,7.5838,0.11166,5.7
159,5.8594,0.051324,3.5219
160,-6.7742,0.62631,38.525
161,6.4538,0.016274,5.3363
162,9.9312,0.048396,4.2629
163,11.104,0.0030996,3.7478
164,-0.52249,0.24424,5.3306
165,1.2664,0.31161,54.186
166,1.1482,0.41148,24.618
167,10.907,0.052906,14.495
168,-4.4745,0.43523,13.794
169,0.45378,0.21488,6.1059
170,6.4661,0.030527,5.8654
171,5.5473,0.14519,6.9345
172,0.31934,0.20951,3.4268
173,-1.4724,0.30858,14.207
174,8.2809,0.058866,7.3411
175,3.9051,0.19498,6.4445
176,12.109,-0.039405,13.089
177,3.7059,0.11178,9.767
178,10.325,0.028088,6.5137
179,2.6254,0.19134,7.031
180,8.3701,0.057757,5.8833
181,4.3206,0.10453,8.6172
182,5.4028,0.19149,3.9117
183,6.6622,0.018723,6.0378
184,6.5507,0.014723,3.7459
185,10.476,0.033182,9.723
186,14.488,-0.069874,37.491
187,5.3359,0.2073,27.037
188,9.5329,0.032802,4.2361
189,2.1682,0.31573,12.914
190,-6.9002,0.63837,52.783
191,7.3398,0.0038561,5.5076
192,12.567,-0.028095,37.734
193,-9.5675,0.64304,25.759
194,6.7233,0.021726,4.9566
195,6.1263,0.12843,4.4021
196,6.643,0.021192,12.969
197,7.5214,0.010994,57.498
198,1.7138,0.23917,38.964
199,9.5213,0.073325,29.031
200,6.9675,0.031137,4.2139
201,10.421,0.023076,4.5454
202,-0.86359,0.3051,7.6636
203,0.28716,0.27808,5.3325
204,6.7905,0.013242,8.3251
205,12.906,0.0043969,8.6981
206,7.2431,0.0043779,12.666
207,-10.119,0.63444,33.203
208,5.7292,0.050302,3.5485
209,6.6409,0.030487,6.5895
210,8.4371,0.090431,4.3386
211,5.8918,0.050334,34.995
212,4.2642,0.1046,25.089
213,11.021,0.058419,7.1342
214,6.8029,0.012171,4.2442
215,3.3391,0.30475,10.44
216,7.0722,0.16047,36.757
217,13.429,-0.057954,38.491
218,7.5226,0.1215,41.806
219,0.94558,0.2338,9.2672
220,3.1342,0.26896,21.096
221,6.9843,0.010487,33.831
222,13.146,0.077397,23.623
223,6.5115,0.016716,29.994
224,8.0667,0.10821,16.123
225,10.26,0.023704,12.528
226,13.862,-0.046665,14.274
227,6.4539,0.01632,6.4857
228,13.065,-0.033259,3.7684
229,-6.3261,0.47349,19.909
230,-4.4286,0.46173,7.8871
231,2.0735,0.18259,4.7342
232,11.375,0.051997,6.6554
233,-1.5051,0.32643,32.627
234,5.3734,0.12855,12.372
235,4.6476,0.16033,6.5541
236,5.8479,0.13066,14.915
237,6.6441,0.022489,8.9533
238,-3.5655,0.40136,37.979
239,11.721,-0.0043957,5.7079
240,10.759,0.032827,16.684
241,2.8273,0.15416,5.4513
242,3.7075,0.15262,4.2045
243,-4.3319,0.45897,7.6163
244,1.0684,0.2138,10.135
245,-6.1587,0.54538,13.729
246,-2.6169,0.37476,37.757
247,6.8788,0.011146,63.934
248,2.6851,0.22097,4.6301
249,10.79,0.011775,9.4151
250,7.36,0.010278,27.157
251,6.7803,0.014419,9.128
252,6.5963,0.0044518,12.516
253,12.064,-0.0036064,42.558
254,10.848,0.0054218,4.8191
255,5.901,0.065936,47.063
256,0.26176,0.23286,15.508
257,0.43102,0.29763,8.6051
258,9.069,0.055111,4.1589
259,-10.104,0.62353,17.424
260,13.745,-0.060854,10.648
261,-0.74569,0.37259,13.99
262,-1.8586,0.34078,25.583
263,0.59192,0.20963,11.697
264,7.1201,0.20972,8.0256
265,-2.7162,0.36528,25.432
266,14.969,-0.043753,4.142
267,1.5794,0.214,9.7046
268,12.174,-0.021162,11.902
269,6.7094,0.010663,13.354
270,0.92677,0.23954,48.068
271,6.5523,0.0037362,8.4706
272,7.4037,0.081864,13.072
273,-7.1957,0.49886,9.9258
274,6.3239,0.039881,16.778
275,-1.6273,0.32747,5.6069
276,11.184,0.012846,5.0624
277,11.215,-0.023239,15.708
278,6.389,0.040961,40.653
279,3.9148,0.39596,52.562
280,-1.0354,0.42914,29.025
281,11.824,-0.034525,31.36
282,1.7909,0.24314,11.016
283,-9.5109,0.62871,40.147
284,6.8823,0.026476,6.1918
285,11.203,-0.0033083,8.7074
286,3.0924,0.12957,7.8665
287,6.988078,0.02462344,26.866
288,-0.78844,0.32461983,10.241
289,6.482663,0.15531558,27.564
290,-3.342701,0.3376731,4.7056
291,-5.750364,0.4559484,20.857
292,10.50481,0.00817404591,6.2349
293,4.167325,0.1739813,3.805
294,11.196871,-0.0005837925,4.4788
295,-4.281291,0.3454365,4.2489
